2023-01-12 10:22:19.073[1673515339073] | INFO  | main       | Binance.BinanceRunner                - downloaded symbols: [testUSDT, wrongTicker]
2023-01-12 10:22:19.077[1673515339077] | INFO  | main       | Binance.BinanceRunner                - start synchronization with db
2023-01-12 10:22:19.375[1673515339375] | INFO  | main       | Binance.BinanceRunner                - symbols are synchronized
2023-01-12 10:22:19.376[1673515339376] | INFO  | main       | Binance.BinanceRunner                - getting list of symbols
2023-01-12 10:22:19.437[1673515339437] | INFO  | main       | Binance.BinanceRunner                - symbols from persistence
2023-01-12 10:22:19.438[1673515339438] | INFO  | main       | Binance.BinanceRunner                - Symbol{id=1, symbol='testUSDT'}
2023-01-12 10:22:19.438[1673515339438] | INFO  | main       | Binance.BinanceRunner                - mod params: adding one day
2023-01-12 10:22:19.439[1673515339439] | INFO  | main       | Binance.BinanceRunner                - mod params: timeframe 1d
2023-01-12 10:22:19.441[1673515339441] | INFO  | main       | Binance.BinanceRunner                - 2010-01-01T00:00 modified: 2010-01-02T00:00
2023-01-12 10:22:19.444[1673515339444] | INFO  | main       | Binance.BinanceRunner                - prepared params: {symbol=testUSDT, interval=1d, limit=1000, startTime=1262390400000}
2023-01-12 10:22:19.484[1673515339484] | INFO  | main       | persistence.DbWriter                 - Saving data to db for: testUSDT
2023-01-12 10:22:19.574[1673515339574] | INFO  | main       | persistence.DbWriter                 - Saving all data 1 for testUSDT to Database took: 62 ms
2023-01-12 10:23:06.718[1673515386718] | INFO  | MLog-Init-Reporter | com.mchange.v2.log.MLog              - MLog clients using slf4j logging.
2023-01-12 10:23:06.872[1673515386872] | INFO  | main       | com.mchange.v2.c3p0.C3P0Registry     - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
